item_id,item_name,core_item
1,blink,2
2,blades_of_attack,2
3,broadsword,2
4,chainmail,2
5,claymore,2
6,helm_of_iron_will,2
7,javelin,2
8,mithril_hammer,2
9,platemail,2
10,quarterstaff,2
11,quelling_blade,2
12,ring_of_protection,2
13,gauntlets,2
14,slippers,2
15,mantle,2
16,branches,2
17,belt_of_strength,2
18,boots_of_elves,2
19,robe,2
20,circlet,2
21,ogre_axe,2
22,blade_of_alacrity,2
23,staff_of_wizardry,2
24,ultimate_orb,2
25,gloves,2
26,lifesteal,2
27,ring_of_regen,2
28,sobi_mask,2
29,boots,2
30,gem,2
31,cloak,2
32,talisman_of_evasion,2
33,cheese,3
34,magic_stick,2
36,magic_wand,2
37,ghost,2
38,clarity,2
39,flask,3
40,dust,3
41,bottle,3
42,ward_observer,3
43,ward_sentry,3
44,tango,3
45,courier,3
46,tpscroll,3
48,travel_boots,2
50,phase_boots,2
51,demon_edge,1
52,eagle,1
53,reaver,1
54,relic,1
55,hyperstone,1
56,ring_of_health,2
57,void_stone,2
58,mystic_staff,1
59,energy_booster,2
60,point_booster,2
61,vitality_booster,2
63,power_treads,2
65,hand_of_midas,2
67,oblivion_staff,2
69,pers,2
71,poor_mans_shield,3
73,bracer,2
75,wraith_band,2
77,null_talisman,2
79,mekansm,2
81,vladmir,2
84,flying_courier,3
86,buckler,2
88,ring_of_basilius,2
90,pipe,1
92,urn_of_shadows,2
94,headdress,2
96,sheepstick,1
98,orchid,1
100,cyclone,3
102,force_staff,2
104,dagon,1
106,necronomicon,1
108,ultimate_scepter,1
110,refresher,1
112,assault,1
114,heart,1
116,black_king_bar,1
117,aegis,3
119,shivas_guard,1
121,bloodstone,1
123,sphere,3
125,vanguard,2
127,blade_mail,2
129,soul_booster,1
131,hood_of_defiance,2
133,rapier,1
135,monkey_king_bar,1
137,radiance,1
139,butterfly,1
141,greater_crit,3
143,basher,1
145,bfury,1
147,manta,1
149,crystalys,2
151,armlet,2
152,invis_sword,1
154,sange_and_yasha,1
156,satanic,1
158,mjollnir,1
160,skadi,1
162,sange,2
164,helm_of_the_dominator,2
166,maelstrom,1
168,desolator,1
170,yasha,2
172,mask_of_madness,2
174,diffusal_blade,1
176,ethereal_blade,1
178,soul_ring,2
180,arcane_boots,2
181,orb_of_venom,2
182,stout_shield,2
185,ancient_janggo,3
187,medallion_of_courage,2
188,smoke_of_deceit,2
190,veil_of_discord,2
193,necronomicon_2,3
194,necronomicon_3,3
196,diffusal_blade_2,3
201,dagon_2,3
202,dagon_3,3
203,dagon_4,3
204,dagon_5,3
206,rod_of_atos,2
208,abyssal_blade,1
210,heavens_halberd,1
212,ring_of_aquila,3
214,tranquil_boots,2
215,shadow_amulet,2
216,enchanted_mango,3
218,ward_dispenser,3
220,travel_boots_2,3
226,lotus_orb,1
229,solar_crest,1
231,guardian_greaves,1
232,aether_lens,2
235,octarine_core,1
236,dragon_lance,2
237,faerie_fire,3
239,iron_talon,3
240,blight_stone,3
241,tango_single,3
242,crimson_guard,1
244,wind_lace,2
247,moon_shard,1
249,silver_edge,1
250,bloodthorn,1
252,echo_sabre,1
254,glimmer_cape,2
257,tome_of_knowledge,3
263,hurricane_pike,1
